tweet text,location
RT @slackmistress: Donald Trump's excuse for RTing Nazis is that he's got a lot going on so he's not paying attention. Good thing the Presi…,MI
RT @boycotkochbros: Deceptive Bernie: My Journey from #FeelTheBern to #HillYes ...... says one disappointed ex Bernie Bot at a @dailykos ar…,NJ
.@tedcruz criticizes candidates who have surrendered on marriage and have said SCOTUS ruling is law of the land. #iacaucus,IA
"RT @BNONews: Trump: ""I could stand in the middle of Fifth Avenue and shoot somebody and I wouldn't lose any voters"" https://t.co/mCjHl9jQa0",CA
What Ted Cruz Promised His Daughters if He Wins the Presidency   - ABC News - https://t.co/qT7jlZ5tDm via @ABC A great dad.,TN
RT @ChippyCham: Not sure what happened to this moron. #certifiable  https://t.co/O13DBjTNlC,CA
Hillary Clinton Has a Killer Mike Problem https://t.co/cKoxyPR5k2 via @vice,IN
@Mediaite @snickerfritz04 u r wrong. Bu guys been on Trump for a lot time.,FL
RT @TheLMurrieta: STOKED to see @JulianCastro speak at the #ReadyToCaucus for @HillaryClinton training! #Latinos4Hillary #ImWithHer https:/…,WA
"RT @teddyschleifer: Our quick post: Glenn Beck endorses Ted Cruz for president, the latest high-profile nod for the candidate in Iowa. http…",FL
"Hmmm - he endorsed Ron Paul in 2012?  Not known for picking winners, huh? https://t.co/ULBca824tB",OH
"RT @azblonde2015: Live Stream: Donald Trump Holds Rally in Pella, IA (1-23-16) https://t.co/KG4V1PSFAg.",AZ
"RT @PatrickSvitek: .@Glennbeck announces from the stage in Ankeny: ""I am here to announce I am endorsing Ted Cruz"" for president.",NM
Who can be surprised that @glennbeck wants an hispanic president? https://t.co/SJog82adVI,WA
RT @DanScavino: The National Review-attempting to destroy @realDonaldTrump- has a poll😂which is back firing. https://t.co/HUTMr1zPz8 https:…,NV
"Really? I figured it will be @HillaryClinton 
Huh..LETS TAKE A TRIP DOWN MEMORY LANE
https://t.co/tqBFaa0JBT  https://t.co/2m8hKdwzmY",NC
@paleofuture @_RunninJonesy_ here's your candidate .... #FeelTheBern my friend,WV
"RT @teddyschleifer: Ted Cruz says the ""two leading contenders who are my competitors in this state"" weren't willing to fight SCOTUS's gay-m…",NC
"I like thinking big. If you're going to be thinking anything, you might as well think big. - Donald Trump #quote",IL
Trump is the Cartel. He admits buying political favors; can't be more politician than that! @pbonn1989 @PolitiBunny @Bmac0507 @CalFreedomMom,AZ
RT @america_trump: She doesn't deserve the ratings. This election is about 'America' not Megyn.  https://t.co/VGYwrJADTC,WV
RT @ChooseEither: Kanye West or Donald Trump? http://t.co/FGiuDi0YlC,NY
RT @gqforbes: TO ALL 4.9 MILLION MEMBERS of THE FORBES GROUP—pls CANCEL your @NRO subscriptions &amp; unfollow them on Twitter ASAP @realDonald…,GA
This needs to keep going you guys. https://t.co/aUsPTj7W24,SC
So jealous. https://t.co/YdqvTt7Vcw,IL
@glennbeck @realDonaldTrump Makes me sick! #DUMPTRUMP,OH
"RT @rickwtyler: Wait @realDonaldTrump, did you just retweet the group that wants to re-establish the Confederate States of America? https:/…",NY
@megynkelly should tell @realDonaldTrump  that due to bias (of himself)  he should skip the debate. If he's so great no need to debate.,PA
RT @gqforbes: Sat 1/23 FLOCK PARTY 2—Theme: Get Out The Vote 4 DJT! https://t.co/FWQdaRzUDL  #dtmag @realDonaldTrump https://t.co/ZCUBGekHWt,CA
RT @wpjenna: Donald Trump says his campaign is now $38 million under budget.,CA
